Concept,Unique Cognates,Coverage (Absolute),Coverage (Relative)
above,34,79,0.9080459770114943
all,47,74,0.8505747126436781
bad,50,79,0.9080459770114943
"below, under",32,79,0.9080459770114943
big,36,87,1.0
black,27,87,1.0
cold (of temperature),41,86,0.9885057471264368
correct (right),35,59,0.6781609195402298
dark,27,61,0.7011494252873564
dirty,46,73,0.8390804597701149
dry,32,86,0.9885057471264368
early,29,62,0.7126436781609196
eight,7,81,0.9310344827586207
far,29,87,1.0
firewood,10,61,0.7011494252873564
five,4,84,0.9655172413793104
four,1,86,0.9885057471264368
full,22,81,0.9310344827586207
good,43,87,1.0
green,28,85,0.9770114942528736
hard,32,77,0.8850574712643678
he or she [third person singular],37,84,0.9655172413793104
heavy,16,85,0.9770114942528736
here,36,65,0.7471264367816092
high / tall,23,67,0.7701149425287356
horizontal,24,47,0.5402298850574713
hot,39,87,1.0
hundred,11,79,0.9080459770114943
inside,27,74,0.8505747126436781
knife,25,67,0.7701149425287356
late,38,70,0.8045977011494253
left,24,84,0.9655172413793104
light (of weight),16,85,0.9770114942528736
long,30,87,1.0
many,41,85,0.9770114942528736
middle,26,70,0.8045977011494253
morning,34,85,0.9770114942528736
narrow,42,78,0.896551724137931
near,36,86,0.9885057471264368
new,18,84,0.9655172413793104
nine,6,81,0.9310344827586207
noon,39,76,0.8735632183908046
old (of person),29,85,0.9770114942528736
one,17,86,0.9885057471264368
outside,35,71,0.8160919540229885
red,25,86,0.9885057471264368
right,27,86,0.9885057471264368
round,34,78,0.896551724137931
salty,18,54,0.6206896551724138
seven,10,81,0.9310344827586207
sharp,29,73,0.8390804597701149
short,29,82,0.9425287356321839
shy,21,54,0.6206896551724138
six,5,81,0.9310344827586207
small,41,87,1.0
smooth,34,69,0.7931034482758621
soft,39,78,0.896551724137931
straight,37,73,0.8390804597701149
ten,13,82,0.9425287356321839
that,30,72,0.8275862068965517
the ant,27,87,1.0
the armpit,34,54,0.6206896551724138
the bamboo,26,86,0.9885057471264368
the barley (tibetan or highland),19,41,0.47126436781609193
the belly,28,86,0.9885057471264368
the bird,19,87,1.0
the blood,7,87,1.0
the body hair (hair or fur),9,75,0.8620689655172413
the bone,17,82,0.9425287356321839
the branch,25,82,0.9425287356321839
the breast (female),16,80,0.9195402298850575
the child (young human),36,65,0.7471264367816092
the cloud,21,87,1.0
the daughter,31,86,0.9885057471264368
the dew,27,67,0.7701149425287356
the dog,16,87,1.0
the dream,4,85,0.9770114942528736
the dust,24,78,0.896551724137931
the ear,11,85,0.9770114942528736
the earth (soil),25,84,0.9655172413793104
the earthworm,41,67,0.7701149425287356
the egg,22,87,1.0
the eye,7,86,0.9885057471264368
the father,9,86,0.9885057471264368
the feather,16,71,0.8160919540229885
the fire,9,86,0.9885057471264368
the fish,8,87,1.0
the flea,14,60,0.6896551724137931
the flower,14,86,0.9885057471264368
the fog,24,67,0.7701149425287356
the foot,24,86,0.9885057471264368
the forest,26,72,0.8275862068965517
the fox,17,47,0.5402298850574713
the frog,20,85,0.9770114942528736
the front (front side),22,67,0.7701149425287356
the frost,17,61,0.7011494252873564
the fruit,18,87,1.0
the goat,23,84,0.9655172413793104
the grass,33,76,0.8735632183908046
the hail,26,68,0.7816091954022989
the hair (of the head),20,87,1.0
the hand,11,85,0.9770114942528736
the head,24,87,1.0
the heart,20,87,1.0
the hoof,25,58,0.6666666666666666
the horn (keratinized skin),10,84,0.9655172413793104
the horse,13,61,0.7011494252873564
the house,15,78,0.896551724137931
the husband,36,76,0.8735632183908046
the ice,15,62,0.7126436781609196
the knee,25,81,0.9310344827586207
the lake,22,63,0.7241379310344828
the leaf,20,87,1.0
the lip (the lips),23,66,0.7586206896551724
the liver,12,78,0.896551724137931
the louse,8,78,0.896551724137931
the lung,21,76,0.8735632183908046
the man (male human),39,85,0.9770114942528736
the meat,14,87,1.0
the moon,7,85,0.9770114942528736
the mosquito,33,77,0.8850574712643678
the mother,20,86,0.9885057471264368
the mountain,28,87,1.0
the mouse or rat,21,87,1.0
the mouth,33,86,0.9885057471264368
the mud,33,81,0.9310344827586207
the nail (fingernail or claw),19,87,1.0
the name,2,87,1.0
the neck,27,87,1.0
the needle (for sewing),14,81,0.9310344827586207
the nit,13,40,0.45977011494252873
the nose,10,87,1.0
the otter,8,57,0.6551724137931034
the pig,8,86,0.9885057471264368
the rain,20,86,0.9885057471264368
the rainbow,34,77,0.8850574712643678
the rice plant,14,61,0.7011494252873564
the river,45,84,0.9655172413793104
the road,19,86,0.9885057471264368
the root,28,87,1.0
the rope,26,76,0.8735632183908046
the salt,11,86,0.9885057471264368
the sand,17,84,0.9655172413793104
the sea,23,55,0.632183908045977
the seed,22,84,0.9655172413793104
the sheep,20,66,0.7586206896551724
the shit,13,74,0.8505747126436781
the shoulder,19,74,0.8505747126436781
the sickle,24,51,0.5862068965517241
the skin,22,85,0.9770114942528736
the sky,19,85,0.9770114942528736
the smoke,9,87,1.0
the snake,11,87,1.0
the snow,27,73,0.8390804597701149
the son,23,87,1.0
the sparrow,30,52,0.5977011494252874
the spider,45,85,0.9770114942528736
the star,23,86,0.9885057471264368
the stick,45,73,0.8390804597701149
the stone (a piece of),16,87,1.0
the sun,18,83,0.9540229885057471
the tail,14,87,1.0
the thigh,35,68,0.7816091954022989
the thunder,32,84,0.9655172413793104
the tiger,26,86,0.9885057471264368
the tongue,15,86,0.9885057471264368
the tooth (front),19,86,0.9885057471264368
the tree,12,84,0.9655172413793104
the water,16,86,0.9885057471264368
the wheat,31,67,0.7701149425287356
the wife,44,74,0.8505747126436781
the wind,24,86,0.9885057471264368
the wing,27,72,0.8275862068965517
the wolf,19,38,0.4367816091954023
the woman,41,85,0.9770114942528736
the wood (material),14,70,0.8045977011494253
the year,15,86,0.9885057471264368
there,48,64,0.735632183908046
thick,29,73,0.8390804597701149
thin (object),31,84,0.9655172413793104
this,37,75,0.8620689655172413
thou [second person singular],15,84,0.9655172413793104
three,4,86,0.9885057471264368
to be alive,25,72,0.8275862068965517
to bite,35,86,0.9885057471264368
to blow (of wind),48,61,0.7011494252873564
to burn [intransitive],41,78,0.896551724137931
to buy,29,87,1.0
to chew,29,68,0.7816091954022989
to come,28,87,1.0
to count,37,75,0.8620689655172413
to cry (weep),18,84,0.9655172413793104
to die,9,87,1.0
to dig,28,73,0.8390804597701149
to drink,22,86,0.9885057471264368
to eat,13,86,0.9885057471264368
to fight,47,71,0.8160919540229885
to float,39,61,0.7011494252873564
to flow,30,63,0.7241379310344828
to fly (move through air),33,87,1.0
to forget,31,85,0.9770114942528736
to give,22,84,0.9655172413793104
to hear,31,86,0.9885057471264368
to hide (conceal),54,75,0.8620689655172413
to hold,43,74,0.8505747126436781
to hunt,46,73,0.8390804597701149
to kill,16,86,0.9885057471264368
to knead,26,43,0.4942528735632184
to know (something),32,79,0.9080459770114943
to laugh,22,87,1.0
to learn,26,52,0.5977011494252874
to lick,17,75,0.8620689655172413
to lie down,41,69,0.7931034482758621
to marry (a man marries a woman),35,45,0.5172413793103449
"to plant (vegetals, rice)",27,64,0.735632183908046
to play,50,86,0.9885057471264368
to pull,46,80,0.9195402298850575
to push,41,85,0.9770114942528736
to reside (live),36,79,0.9080459770114943
to run,33,68,0.7816091954022989
to scratch,41,73,0.8390804597701149
to see,36,86,0.9885057471264368
to shoot (an arrow),21,75,0.8620689655172413
to sing,46,83,0.9540229885057471
to sleep,26,85,0.9770114942528736
to smell (perceive odor) [transitive],12,68,0.7816091954022989
"to sow (broadcast, scatter seeds)",23,48,0.5517241379310345
to spit,43,74,0.8505747126436781
to stand,19,87,1.0
to steal,15,85,0.9770114942528736
to think (reflect),30,76,0.8735632183908046
to throw,52,86,0.9885057471264368
to vomit,16,74,0.8505747126436781
to walk,36,86,0.9885057471264368
to wipe,37,82,0.9425287356321839
today,39,86,0.9885057471264368
tomorrow,42,87,1.0
twenty,22,71,0.8160919540229885
two,11,86,0.9885057471264368
we [first person plural inclusive],24,74,0.8505747126436781
wet,38,85,0.9770114942528736
what,42,74,0.8505747126436781
where,41,74,0.8505747126436781
white,25,87,1.0
who,29,87,1.0
yellow,27,84,0.9655172413793104
yesterday,42,87,1.0
you [second person plural],21,72,0.8275862068965517
young,37,59,0.6781609195402298
