Concept,Unique Cognates,Coverage (Absolute),Coverage (Relative)
ACAI PALM,1,7,0.7777777777777778
AGOUTI,2,7,0.7777777777777778
ALL,6,7,0.7777777777777778
ALLIGATOR,5,7,0.7777777777777778
ANIMAL,2,7,0.7777777777777778
ANT,8,7,0.7777777777777778
ANTEATER,4,7,0.7777777777777778
ARMY ANT,5,7,0.7777777777777778
ARRIVE,4,7,0.7777777777777778
ARROW,5,9,1.0
AXE,3,9,1.0
BACK,3,7,0.7777777777777778
BAD,10,7,0.7777777777777778
BARK,3,7,0.7777777777777778
BAT,3,7,0.7777777777777778
BE ANGRY,4,7,0.7777777777777778
BEE,4,7,0.7777777777777778
BELLY,5,8,0.8888888888888888
BIG,5,7,0.7777777777777778
BITE,4,8,0.8888888888888888
BITTER,4,8,0.8888888888888888
BITTER MANIOC,3,7,0.7777777777777778
BLACK,7,8,0.8888888888888888
BLOOD,1,8,0.8888888888888888
BLOW,4,7,0.7777777777777778
BLUE-AND-YELLOW MACAW,4,8,0.8888888888888888
BONE,1,7,0.7777777777777778
BOW,5,9,1.0
BOY,6,6,0.6666666666666666
BRANCH,2,7,0.7777777777777778
BRAZIL NUT,6,7,0.7777777777777778
BREAST,3,8,0.8888888888888888
BREATHE,1,7,0.7777777777777778
BURN,8,7,0.7777777777777778
BUTTOCKS,2,7,0.7777777777777778
CAIMAN,3,7,0.7777777777777778
CANOE,4,9,1.0
CAPUCHIN MONKEY,3,8,0.8888888888888888
CARRY,9,7,0.7777777777777778
CATCH,2,7,0.7777777777777778
CHEEK,3,7,0.7777777777777778
CHILD,6,8,0.8888888888888888
CHIN,2,7,0.7777777777777778
CICADA,3,7,0.7777777777777778
CLOTHES,4,7,0.7777777777777778
COATI,3,7,0.7777777777777778
COOK,3,7,0.7777777777777778
COUGH,1,7,0.7777777777777778
CRY,2,7,0.7777777777777778
CULTIVATED FIELD,6,7,0.7777777777777778
CURASSOW,3,7,0.7777777777777778
CUT,2,7,0.7777777777777778
DAUGHTER,4,7,0.7777777777777778
DEER,3,8,0.8888888888888888
DIE,6,8,0.8888888888888888
DIG,3,7,0.7777777777777778
DIRTY,7,7,0.7777777777777778
DOG,3,8,0.8888888888888888
DOLPHIN,5,7,0.7777777777777778
DRINK,3,7,0.7777777777777778
DRY,5,7,0.7777777777777778
EAGLE OR HAWK,3,8,0.8888888888888888
EAR,1,8,0.8888888888888888
EARTHWORM,1,7,0.7777777777777778
EAT,5,7,0.7777777777777778
EGG,3,8,0.8888888888888888
ELECTRIC EEL,2,7,0.7777777777777778
EYE,2,8,0.8888888888888888
FAECES,1,7,0.7777777777777778
FALL,5,7,0.7777777777777778
FAN,5,7,0.7777777777777778
FAT,4,7,0.7777777777777778
FATHER,3,8,0.8888888888888888
FINGERNAIL,4,7,0.7777777777777778
FIRE,2,9,1.0
FIREWOOD,3,8,0.8888888888888888
FIRST,4,7,0.7777777777777778
FISH,3,9,1.0
FISHHOOK,4,8,0.8888888888888888
FLESH OR MEAT,2,8,0.8888888888888888
FLOWER,2,7,0.7777777777777778
FOOD,6,7,0.7777777777777778
FOOT,3,9,1.0
FOREHEAD,2,7,0.7777777777777778
FRUIT,4,7,0.7777777777777778
FRUIT TREE,3,7,0.7777777777777778
FULL,9,7,0.7777777777777778
GIRL,6,7,0.7777777777777778
GO,2,7,0.7777777777777778
GOOD,4,7,0.7777777777777778
GOURD,2,5,0.5555555555555556
GRANDCHILD,1,7,0.7777777777777778
GUAN,2,7,0.7777777777777778
HAIR,4,8,0.8888888888888888
HAMMOCK,2,7,0.7777777777777778
HAND,3,9,1.0
HAPPY,4,7,0.7777777777777778
HARD,1,7,0.7777777777777778
HEAD,2,7,0.7777777777777778
HEAR,1,7,0.7777777777777778
HEAVY,1,7,0.7777777777777778
HERE,1,7,0.7777777777777778
HILL,2,8,0.8888888888888888
HOLE,1,7,0.7777777777777778
HOUSE,7,8,0.8888888888888888
HOWLER MONKEY,2,8,0.8888888888888888
HUSBAND,2,7,0.7777777777777778
INSIDE,3,7,0.7777777777777778
JAGUAR,1,8,0.8888888888888888
KNIFE,4,9,1.0
KNOW,3,7,0.7777777777777778
LAKE,3,8,0.8888888888888888
LAUGH,2,7,0.7777777777777778
LEAF,1,7,0.7777777777777778
LEG,3,8,0.8888888888888888
LIE (REST),3,7,0.7777777777777778
LIGHTNING,4,7,0.7777777777777778
LONG,5,7,0.7777777777777778
LUNG FISH,1,7,0.7777777777777778
MAIZE,4,8,0.8888888888888888
MAN,2,8,0.8888888888888888
MANATEE,4,7,0.7777777777777778
MANY,9,8,0.8888888888888888
MATERNAL UNCLE,1,7,0.7777777777777778
MILK,2,8,0.8888888888888888
MONTH,1,7,0.7777777777777778
MOON,1,9,1.0
MOTHER,1,9,1.0
MOUTH,4,8,0.8888888888888888
NECK,2,7,0.7777777777777778
NECKLACE,4,7,0.7777777777777778
NEW,2,7,0.7777777777777778
NIGHT,2,7,0.7777777777777778
NIGHT MONKEY,4,7,0.7777777777777778
NOSE,3,7,0.7777777777777778
NUNBIRD,1,7,0.7777777777777778
OAR,3,6,0.6666666666666666
OLD,2,7,0.7777777777777778
OLDER BROTHER,2,7,0.7777777777777778
OLDER SISTER,2,7,0.7777777777777778
ONE,1,6,0.6666666666666666
OPOSSUM,4,7,0.7777777777777778
OTTER,2,7,0.7777777777777778
OWL,2,7,0.7777777777777778
PADDLE,2,7,0.7777777777777778
PATERNAL AUNT,2,7,0.7777777777777778
PATH,1,7,0.7777777777777778
PEACH PALM,4,7,0.7777777777777778
PECCARY,5,9,1.0
PENIS,3,8,0.8888888888888888
PIECE,3,7,0.7777777777777778
PIERCE,3,7,0.7777777777777778
PIRANHA,3,8,0.8888888888888888
POT,2,7,0.7777777777777778
PUMA,1,7,0.7777777777777778
PURPLE BANANA,5,7,0.7777777777777778
PUSH,1,7,0.7777777777777778
RAIN,4,8,0.8888888888888888
RED,3,8,0.8888888888888888
RED-AND-GREEN MACAW,5,8,0.8888888888888888
RIPE,2,7,0.7777777777777778
RIVER,3,5,0.5555555555555556
ROTTEN,1,7,0.7777777777777778
SAND,2,8,0.8888888888888888
SCROTUM,2,8,0.8888888888888888
SEED,3,7,0.7777777777777778
SHAMAN,3,7,0.7777777777777778
SHARPEN,3,7,0.7777777777777778
SICK,4,8,0.8888888888888888
SIT,1,7,0.7777777777777778
SKIN,3,7,0.7777777777777778
SLEEP,3,7,0.7777777777777778
SNAKE,4,7,0.7777777777777778
SOIL,2,7,0.7777777777777778
SON,6,8,0.8888888888888888
SQUEEZE,6,7,0.7777777777777778
STAND,1,7,0.7777777777777778
STAR,2,9,1.0
STINGRAY,2,8,0.8888888888888888
STONE,3,8,0.8888888888888888
STRIKE OR BEAT,4,7,0.7777777777777778
SUCK,3,7,0.7777777777777778
SUN,3,9,1.0
SWEET POTATO,4,7,0.7777777777777778
TAPIR,3,8,0.8888888888888888
THORN,3,7,0.7777777777777778
THREE,3,3,0.3333333333333333
THUNDER,3,7,0.7777777777777778
TIE,3,7,0.7777777777777778
TOBACCO,3,7,0.7777777777777778
TONGUE,1,8,0.8888888888888888
TOOTH,2,8,0.8888888888888888
TREE,3,8,0.8888888888888888
TURTLE,3,9,1.0
TWO,2,8,0.8888888888888888
URUCU,2,7,0.7777777777777778
VINE,6,7,0.7777777777777778
VULTURE,4,7,0.7777777777777778
WASP,4,7,0.7777777777777778
WATER,3,9,1.0
WEAVE,2,7,0.7777777777777778
WET,4,7,0.7777777777777778
WHISTLE,4,7,0.7777777777777778
WHITE,3,8,0.8888888888888888
WHITE-LIPPED PECCARY,4,8,0.8888888888888888
WIFE,4,7,0.7777777777777778
WIND,4,7,0.7777777777777778
WOMAN,7,8,0.8888888888888888
WOOLLY MONKEY,3,8,0.8888888888888888
YAM,4,7,0.7777777777777778
YELLOW,8,7,0.7777777777777778
YES,4,7,0.7777777777777778
YOU,1,7,0.7777777777777778
YOUNGER BROTHER,7,7,0.7777777777777778
YOUNGER SISTER,6,7,0.7777777777777778
