Concept,Cognates
ACAI PALM,1
AGOUTI,1
ALL,1
ALLIGATOR,1
ANIMAL,1
ANT,3
ANTEATER,2
ARMY ANT,2
ARRIVE,1
ARROW,1
AXE,1
BACK,1
BAD,2
BARK,1
BAT,1
BE ANGRY,2
BEE,2
BELLY,1
BIG,1
BITE,1
BITTER,1
BITTER MANIOC,1
BLACK,1
BLOOD,1
BLOW,2
BLUE-AND-YELLOW MACAW,1
BONE,1
BOW,1
BRANCH,1
BRAZIL NUT,1
BREAST,1
BREATHE,1
BURN,1
BUTTOCKS,1
CAIMAN,1
CANOE,1
CAPUCHIN MONKEY,2
CARRY,1
CATCH,1
CHEEK,1
CHILD,1
CHIN,1
CICADA,1
CLOTHES,1
COATI,1
COOK,1
COUGH,1
CRY,1
CULTIVATED FIELD,1
CURASSOW,1
CUT,2
DAUGHTER,1
DEER,1
DIE,1
DIG,1
DIRTY,1
DOG,1
DOLPHIN,1
DRINK,1
DRY,1
EAGLE OR HAWK,1
EAR,1
EARTHWORM,1
EAT,1
EGG,1
ELECTRIC EEL,1
EYE,1
FAECES,1
FALL,1
FAN,1
FAT,1
FATHER,1
FINGERNAIL,1
FIRE,1
FIREWOOD,1
FIRST,1
FISH,1
FISHHOOK,1
FLESH OR MEAT,1
FLOWER,1
FOOD,2
FOOT,1
FOREHEAD,1
FRUIT,1
FRUIT TREE,2
GIRL,1
GO,1
GOOD,1
GRANDCHILD,1
GUAN,1
HAIR,1
HAMMOCK,1
HAND,1
HAPPY,1
HARD,1
HEAD,1
HEAR,1
HEAVY,1
HERE,1
HILL,1
HOLE,1
HOUSE,1
HOWLER MONKEY,1
HUSBAND,1
INSIDE,2
JAGUAR,1
KNIFE,1
KNOW,1
LAKE,1
LAUGH,1
LEAF,1
LEG,1
LIE (REST),1
LONG,1
LUNG FISH,1
MAIZE,1
MAN,1
MANATEE,1
MANY,1
MATERNAL UNCLE,1
MILK,1
MONTH,1
MOON,1
MOTHER,1
MOUTH,1
NECK,1
NECKLACE,1
NEW,1
NIGHT MONKEY,1
NOSE,1
NUNBIRD,1
OLD,1
OLDER BROTHER,1
OLDER SISTER,1
ONE,1
OPOSSUM,1
OTTER,1
OWL,2
PADDLE,1
PATERNAL AUNT,1
PATH,1
PEACH PALM,1
PECCARY,1
PENIS,1
PIECE,1
PIERCE,2
PIRANHA,1
POT,1
PUMA,1
PUSH,1
RAIN,1
RED,1
RED-AND-GREEN MACAW,1
RIPE,1
ROTTEN,1
SAND,1
SCROTUM,1
SEED,1
SHAMAN,1
SHARPEN,1
SICK,1
SIT,1
SKIN,1
SLEEP,1
SNAKE,1
SOIL,1
SON,1
SQUEEZE,1
STAND,1
STAR,1
STINGRAY,1
STONE,1
STRIKE OR BEAT,2
SUCK,1
SUN,1
SWEET POTATO,1
TAPIR,1
THORN,1
THUNDER,1
TIE,1
TOBACCO,1
TONGUE,1
TOOTH,1
TREE,2
TURTLE,1
TWO,1
URUCU,1
VINE,3
VULTURE,1
WASP,2
WATER,1
WEAVE,1
WET,1
WHISTLE,1
WHITE,1
WHITE-LIPPED PECCARY,1
WIFE,1
WIND,1
WOMAN,1
WOOLLY MONKEY,1
YAM,1
YELLOW,1
YOU,1
YOUNGER BROTHER,1
YOUNGER SISTER,1
