Concept,Cognates
bad,2
"below, under",1
big,2
black,2
cold (of temperature),2
dark,2
dirty,1
dry,2
early,2
eight,1
far,1
five,1
four,1
full,2
good,3
hard,2
he or she [third person singular],2
heavy,1
high / tall,1
hot,3
hundred,1
inside,1
late,2
light (of weight),1
long,3
many,3
middle,1
morning,1
narrow,2
near,2
new,1
noon,1
old (of person),2
outside,1
red,1
right,1
round,2
salty,1
seven,1
sharp,2
short,1
small,2
smooth,2
soft,2
straight,2
the ant,2
the bamboo,2
the belly,1
the bird,1
the blood,1
the body hair (hair or fur),1
the bone,1
the branch,1
the breast (female),1
the cloud,1
the daughter,1
the dew,1
the dog,1
the dream,1
the dust,1
the ear,1
the earth (soil),2
the egg,1
the eye,1
the father,1
the feather,1
the fire,1
the fish,1
the flea,1
the flower,1
the fog,1
the foot,1
the forest,1
the frog,1
the fruit,1
the goat,1
the grass,2
the hair (of the head),1
the hand,1
the head,2
the heart,1
the hoof,1
the horn (keratinized skin),1
the house,1
the knee,1
the lake,1
the leaf,1
the lip (the lips),2
the liver,1
the louse,1
the lung,1
the man (male human),2
the meat,1
the moon,1
the mosquito,1
the mother,1
the mountain,1
the mouse or rat,1
the mouth,2
the mud,1
the nail (fingernail or claw),1
the name,1
the neck,1
the needle (for sewing),1
the nose,1
the otter,1
the pig,2
the rain,1
the rainbow,1
the river,1
the road,2
the root,2
the rope,1
the salt,1
the sand,1
the seed,2
the sheep,1
the shoulder,2
the skin,2
the sky,1
the smoke,1
the snake,1
the snow,1
the son,1
the spider,2
the star,1
the stick,2
the stone (a piece of),1
the sun,1
the tail,1
the thigh,1
the thunder,1
the tiger,1
the tongue,1
the tooth (front),1
the tree,2
the water,1
the wind,1
the wing,1
the wolf,1
the woman,1
the year,1
thick,2
thou [second person singular],1
to be alive,1
to bite,2
to blow (of wind),1
to burn [intransitive],2
to buy,2
to come,1
to count,2
to cry (weep),1
to die,1
to dig,2
to drink,2
to eat,1
to fight,1
to flow,1
to fly (move through air),2
to forget,1
to give,2
to hear,1
to hide (conceal),1
to hold,2
to hunt,1
to kill,1
to know (something),2
to laugh,1
to learn,1
to lick,1
to lie down,2
to marry (a man marries a woman),1
to play,1
to pull,3
to push,2
to run,2
to scratch,2
to see,2
to shoot (an arrow),1
to sing,3
to sleep,1
to smell (perceive odor) [transitive],1
"to sow (broadcast, scatter seeds)",2
to spit,1
to stand,1
to steal,1
to think (reflect),1
to throw,2
to vomit,1
to walk,1
to wipe,2
today,1
tomorrow,1
wet,2
white,2
who,1
yellow,1
yesterday,1
young,1
