Concept,Cognates
ACAI PALM,1
AGOUTI,1
ALL,1
ALLIGATOR,1
ANIMAL,1
ANT,2
ANTEATER,1
ARMY ANT,1
ARRIVE,1
ARROW,1
AXE,1
BACK,1
BAD,1
BARK,1
BAT,1
BE ANGRY,2
BEE,2
BELLY,1
BIG,3
BITE,1
BITTER,1
BITTER MANIOC,1
BLACK,2
BLOOD,1
BLOW,2
BLUE-AND-YELLOW MACAW,1
BONE,1
BOW,1
BOY,1
BRANCH,1
BRAZIL NUT,1
BREAST,1
BREATHE,1
BURN,4
BUTTOCKS,1
CAIMAN,1
CANOE,1
CAPUCHIN MONKEY,1
CARRY,1
CATCH,1
CHEEK,1
CHILD,2
CHIN,1
CICADA,1
CLOTHES,1
COATI,1
COOK,1
COUGH,1
CRY,1
CULTIVATED FIELD,1
CUT,1
DAUGHTER,2
DEER,1
DIE,1
DIG,1
DIRTY,2
DOG,1
DOLPHIN,1
DRINK,1
DRY,2
EAGLE OR HAWK,2
EAR,1
EARTHWORM,1
EAT,1
EGG,2
ELECTRIC EEL,1
EYE,1
FAECES,1
FALL,1
FAN,1
FAT,1
FATHER,2
FINGERNAIL,1
FIRE,1
FIREWOOD,1
FIRST,1
FISH,3
FISHHOOK,1
FLESH OR MEAT,1
FLOWER,1
FOOD,1
FOOT,1
FOREHEAD,1
FRUIT,2
FRUIT TREE,1
FULL,2
GIRL,1
GO,1
GOOD,2
GOURD,1
GRANDCHILD,1
GUAN,1
HAIR,1
HAND,1
HAPPY,1
HARD,1
HEAD,2
HEAR,1
HEAVY,1
HERE,1
HILL,1
HOLE,1
HOUSE,1
HOWLER MONKEY,1
HUSBAND,1
INSIDE,1
JAGUAR,1
KNIFE,1
KNOW,1
LAKE,1
LAUGH,1
LEAF,1
LEG,1
LIE (REST),1
LIGHTNING,1
LONG,1
LUNG FISH,1
MAIZE,1
MAN,1
MANATEE,1
MANY,1
MATERNAL UNCLE,1
MILK,1
MONTH,1
MOON,1
MOTHER,1
MOUTH,1
NECK,1
NECKLACE,1
NEW,1
NIGHT,1
NIGHT MONKEY,1
NOSE,1
NUNBIRD,1
OAR,1
OLD,1
OLDER BROTHER,1
OLDER SISTER,2
OPOSSUM,1
OTTER,1
OWL,1
PADDLE,1
PATERNAL AUNT,2
PATH,1
PEACH PALM,1
PECCARY,1
PENIS,1
PIECE,1
PIERCE,1
PIRANHA,1
POT,1
PUMA,1
PURPLE BANANA,1
PUSH,1
RAIN,1
RED,1
RED-AND-GREEN MACAW,1
RIPE,2
RIVER,1
ROTTEN,1
SAND,1
SCROTUM,1
SEED,1
SHAMAN,1
SHARPEN,1
SICK,1
SIT,1
SKIN,1
SLEEP,1
SNAKE,3
SOIL,1
SON,1
SQUEEZE,1
STAND,1
STAR,1
STINGRAY,1
STONE,1
STRIKE OR BEAT,3
SUCK,1
SUN,2
SWEET POTATO,1
TAPIR,1
THORN,1
THREE,1
THUNDER,1
TIE,1
TONGUE,1
TOOTH,1
TREE,1
TURTLE,2
TWO,1
URUCU,1
VINE,1
VULTURE,1
WASP,2
WATER,1
WEAVE,1
WET,1
WHISTLE,2
WHITE,1
WHITE-LIPPED PECCARY,1
WIFE,1
WIND,1
WOMAN,2
WOOLLY MONKEY,1
YAM,1
YELLOW,2
YES,1
YOU,1
YOUNGER BROTHER,1
YOUNGER SISTER,2
