Concept,Cognates
ARROW,1
AXE,1
BELLY,1
BITE,1
BITTER,1
BLACK,1
BLOOD,1
BLUE,1
BLUE OR GREEN,1
BLUE-AND-YELLOW MACAW,1
BOW,1
BREAST,1
CAIMAN,1
CANOE,1
CAPUCHIN MONKEY,1
CHILD,1
CURASSOW,1
DEER,1
DIE,1
DOG,1
DOVE,1
EAGLE OR HAWK,1
EAR,1
EYE,1
FAST,1
FINGERNAIL,1
FIRE,1
FISH,1
FISHHOOK,1
FLESH OR MEAT,1
FOOT,1
FOREST,1
HAIR,1
HAMMOCK,1
HAND,1
HEAD,1
HILL,1
HOWLER MONKEY,1
KNIFE,1
LAKE,1
LEG,1
LIGHTNING,1
MAIZE,1
MANATEE,1
MANIOC,1
MANY,1
MILK,1
MOON,1
MOTHER,1
MOUTH,1
NIGHT,1
NOSE,1
PADDLE,1
PAN,1
PARROT,1
PECCARY,1
PENIS,1
PIRANHA,1
PIRARUCU,1
PURPLE BANANA,1
RAIN,1
RED,1
RED-AND-GREEN MACAW,1
SAND,1
SON,1
SPIDER MONKEY,1
STAR,1
STINGRAY,1
STONE,1
SUN,1
SWEET MANIOC,1
THUNDER,1
TONGUE,1
TOOTH,1
TREE,1
TURTLE,1
VAGINA,1
VULTURE,1
WARM,1
WATER,1
WHITE,1
WIND,1
WOOLLY MONKEY,1
YELLOW,1
YES,1
