Concept,Cognates
ABIU,1
ABOVE,2
ACAI PALM,1
AGOUTI,1
ALL,1
ALLIGATOR,1
ANACONDA,1
ANIMAL,1
ANT,2
ANTEATER,1
ARMADILLO,2
ARMY ANT,1
ARRIVE,1
ARROW,1
AXE,1
BACK,1
BANANA,1
BARK,1
BAT,1
BE ALIVE,1
BE ANGRY,1
BEE,1
BELLY,1
BIG,1
BITE,1
BITTER,1
BITTER MANIOC,2
BLACK,1
BLOOD,1
BLOW,2
BLOWGUN,1
BLUE OR GREEN,2
BLUE-AND-YELLOW MACAW,1
BONE,1
BOW,1
BOY,1
BRANCH,1
BRAZIL NUT,1
BREAST,1
BREATHE,1
BURN,2
BUTTOCKS,1
CAIMAN,1
CANOE,1
CAPUCHIN MONKEY,2
CAPYBARA,1
CARRY,1
CATCH,1
CHEEK,1
CHICKEN,1
CHILD,1
CHIN,1
CICADA,1
CLOTHES,1
COATI,1
COME,2
COOK,1
COTTON,1
COUGH,1
CRY,1
CULTIVATED FIELD,1
CURASSOW,1
CUT,2
DAUGHTER,2
DEER,1
DIE,1
DIG,1
DIRTY,2
DOLPHIN,1
DRINK,1
DRY,2
EAGLE OR HAWK,1
EAR,1
EARTHWORM,1
EAT,1
EGG,1
ELECTRIC EEL,1
EYE,1
FAECES,1
FALL,1
FAN,1
FAT,1
FATHER,2
FIRE,1
FIREWOOD,2
FIRST,1
FISH,1
FISHHOOK,1
FLESH OR MEAT,1
FLOWER,1
FLY,1
FOOD,2
FOOT,2
FOREHEAD,1
FOREST,2
FRUIT,1
FRUIT TREE,1
FULL,2
GIRL,2
GO,1
GRANDCHILD,1
GRASS,1
GUAN,1
HAIR,2
HAMMOCK,1
HAND,2
HAPPY,1
HARD,1
HEAR,1
HEART,1
HEAVY,1
HERE,1
HILL,1
HOLD OR TAKE,1
HOLE,1
HOUSE,1
HOWLER MONKEY,1
HUSBAND,1
I,1
INGA,1
INSIDE,1
JAGUAR,1
KNEE,1
KNIFE,1
KNOW,1
LAKE,1
LAUGH,2
LEAF,1
LEG,1
LIANA,1
LIE (REST),1
LIGHTNING,1
LONG,1
LUNG FISH,1
MAIZE,1
MAN,1
MANIOC,1
MANY,1
MATERNAL UNCLE,1
MILK,1
MONTH,1
MOON,1
MOTHER,1
MOUTH,1
NECK,1
NECKLACE,1
NEW,1
NIGHT,1
NIGHT MONKEY,1
NUNBIRD,1
OAR,1
OLD,1
OLDER BROTHER,1
OLDER SISTER,1
OPOSSUM,1
OTTER,2
OWL,1
PACA,1
PACU,1
PAN,1
PARROT,1
PATERNAL AUNT,1
PATH,1
PAXIUBA,1
PEACH PALM,2
PECCARY,1
PENIS,1
PIECE,1
PIERCE,2
PIRANHA,1
PIRARUCU,1
PLAY,1
PORCUPINE,1
POT,1
PUMA,1
PURPLE BANANA,1
PUSH,1
RAIN,1
RED,1
RED-AND-GREEN MACAW,2
RIPE,1
RIVER,1
ROOT,1
ROPE,1
ROTTEN,1
SAND,1
SCRATCH,1
SCROTUM,1
SEED,1
SEW,1
SHAMAN,1
SHARP,1
SHARPEN,1
SHORT,1
SICK,1
SIT,1
SKIN,1
SLEEP,1
SMELL,1
SMOKE,1
SNAKE,1
SOIL,1
SON,1
SPEAK,1
SPEAR,1
SPIDER MONKEY,1
SPIT,2
SQUEEZE,3
STAND,1
STAR,1
STICK,1
STINGRAY,1
STONE,1
STRIKE OR BEAT,1
SUCK,1
SUN,1
SWEAT,1
SWEET MANIOC,1
SWEET POTATO,1
SWIM,1
TAIL,1
TAPIR,1
THORN,1
THUNDER,2
TIE,1
TOBACCO,1
TONGUE,1
TOOTH,1
TREE,2
TURTLE,1
TWO,1
URUCU,1
VAGINA,1
VINE,3
VULTURE,1
WALK,1
WARM,1
WASP,1
WATER,1
WE,1
WEASEL,1
WEAVE,1
WET,1
WHISTLE,1
WHITE,1
WHITE-LIPPED PECCARY,3
WIFE,1
WIND,1
WOMAN,1
WOOLLY MONKEY,1
YAM,2
YELLOW,2
YOU,1
YOUNGER BROTHER,1
YOUNGER SISTER,1
