Language,Total Entries,Concepts with Cognates (Absolute),Concepts with Cognates (Relative)
Achang,238,237,0.9518072289156626
Alike,248,232,0.9317269076305221
Atsi,243,242,0.9718875502008032
Bahing,188,177,0.7108433734939759
Bantawa,231,215,0.8634538152610441
Batang,271,249,1.0
Beijing,241,215,0.8634538152610441
Bola,240,239,0.9598393574297188
Bunan,245,237,0.9518072289156626
Byangsi,218,212,0.8514056224899599
Chaozhou,211,204,0.8192771084337349
Chepang,238,220,0.8835341365461847
Daofu,277,244,0.9799196787148594
Dulong,261,248,0.9959839357429718
EBBumthang,248,248,0.9959839357429718
EBDzalakha,236,236,0.9477911646586346
EBKhengkha,247,247,0.9919678714859438
EBMamaCuonaMenba,239,238,0.9558232931726908
EBWenlangCuonaMenba,239,238,0.9558232931726908
Garo,239,226,0.9076305220883534
Guangzhou,249,216,0.8674698795180723
Hakha,247,244,0.9799196787148594
Hayu,196,176,0.7068273092369478
HruBangru,215,215,0.8634538152610441
HruDammaiDibin,166,166,0.6666666666666666
HruDammaiRurang,166,166,0.6666666666666666
HruHrusoAkaJamiri,196,196,0.7871485943775101
HruMijiNafra,195,195,0.7831325301204819
HruNamreiBisai,164,164,0.6586345381526104
HruNamreiNabolang,166,166,0.6666666666666666
Japhug,266,248,0.9959839357429718
Jieyang,221,212,0.8514056224899599
Jingpho,259,249,1.0
KBBichomBugun,163,162,0.6506024096385542
KBDikhyangBugun,218,218,0.8755020080321285
KBEastPuroikRemsangpuia,206,206,0.8273092369477911
KBEastPuroikSoja,235,235,0.9437751004016064
KBEastPuroikSun,228,228,0.9156626506024096
KBKaspiBugun,162,161,0.6465863453815262
KBNamphriBugun,163,162,0.6506024096385542
KBSingchungBugun,163,162,0.6506024096385542
KBWDuhumbi,245,245,0.9839357429718876
KBWJerigaon,225,225,0.9036144578313253
KBWKhispi,240,240,0.963855421686747
KBWKhoina,228,228,0.9156626506024096
KBWKhoitam,229,229,0.9196787148594378
KBWRahung,230,230,0.9236947791164659
KBWRupa,230,230,0.9236947791164659
KBWShergaon,226,226,0.9076305220883534
KBWanghoBugun,163,162,0.6506024096385542
KBWestPuroikLieberherr,238,238,0.9558232931726908
KarbiMikir,247,247,0.9919678714859438
Khaling,235,233,0.9357429718875502
Kulung,222,212,0.8514056224899599
Kusunda,226,226,0.9076305220883534
Lashi,234,232,0.9317269076305221
Lhasa,291,249,1.0
Limbu,217,217,0.8714859437751004
Lisu,251,248,0.9959839357429718
Longgang,219,210,0.8433734939759037
Lushai,273,199,0.7991967871485943
Maerkang,253,248,0.9959839357429718
Maru,239,237,0.9518072289156626
MishmiDarangTaraon,239,239,0.9598393574297188
MishmiKaman,233,233,0.9357429718875502
MishmiYidu,236,235,0.9437751004016064
OldBurmese,245,234,0.9397590361445783
OldChinese,288,240,0.963855421686747
OldTibetan,272,238,0.9558232931726908
Rabha,176,174,0.6987951807228916
Rangoon,256,242,0.9718875502008032
Rongpo,232,210,0.8433734939759037
Songlin,229,223,0.8955823293172691
Tangut,275,238,0.9558232931726908
TaniBokar,269,248,0.9959839357429718
TaniGalo,220,220,0.8835341365461847
TaniTangam,219,219,0.8795180722891566
Thulung,236,231,0.927710843373494
TshBhutanTshangla,243,243,0.9759036144578314
TshDirangTshangla,242,242,0.9718875502008032
TshMotuoMenba,253,238,0.9558232931726908
Ukhrul,204,189,0.7590361445783133
WobziKhroskyabs,247,247,0.9919678714859438
Xiahe,255,248,0.9959839357429718
Xiandao,230,229,0.9196787148594378
Xingning,221,211,0.8473895582329317
Zhaba,276,246,0.9879518072289156
