ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	COGNACY	BORROWING	NOTE
28	Banawa	AXE	bari	bari	b a r i	b a r i	217.0	217	AXE			
295	Deni	AXE	bari	bari	b a r i	b a r i	217.0	217	AXE			
637	Jamamadi	AXE	bari	bari	b a r i	b a r i	217.0	217	AXE			
908	Jarawara	AXE	bari	bari	b a r i	b a r i	217.0	217	AXE			
3457	Kulina	AXE	dzami / baɾi	dzami	dz a m i	dz a m i	180.0	5	AXE		YES	
4567	Kulina	AXE	dzami / baɾi	baɾi	b a ɾ i	b a ɾ i	217.0	217	AXE			
5166	Sorowaha	AXE	baaɾi	baaɾi	b aː ɾ i	b aː ɾ i	217.0	217	AXE			
10989	Paumari	AXE	dʒori	dʒori	dʒ o r i	dʒ o r i	1053.0	1010	AXE			
12141	Paumari_1833	AXE	dʒiuri	dʒiuri	dʒ i u r i	dʒ i u r i	1053.0	1010	AXE			
34	Banawa	GOOD	amosa	amosa	a m o s a	a m o s a	8.0	8	BE.GOOD			
301	Deni	GOOD	amotsʰi	amotsʰi	a m o tsʰ i	a m o tsʰ i	8.0	8	BE.GOOD			
640	Jamamadi	GOOD	amosa	amosa	a m o s a	a m o s a	8.0	8	BE.GOOD			
914	Jarawara	GOOD	amosa	amosa	a m o s a	a m o s a	8.0	8	BE.GOOD			
10228	Paumari	GOOD	dʒaha / makʰani	dʒaha	dʒ a h a	dʒ a h a	806.0	763	BE.GOOD			
10230	Paumari	GOOD	dʒaha / makʰani	makʰani	m a kʰ a n i	m a kʰ a n i	805.0	762	BE.GOOD			
11984	Kulina	GOOD	bika	bika	b i k a	b i k a	1468.0	354	BE.GOOD			
65	Banawa	FIRE	jiɸo	jifo	j i f o	j i f o	259.0	259	FIRE			
340	Deni	FIRE	jipho	jipho	j i pʰ o	j i pʰ o	259.0	259	FIRE			
669	Jamamadi	FIRE	jiɸo	jiɸo	j i ɸ o	j i ɸ o	259.0	259	FIRE			
963	Jarawara	FIRE	jiɸo	jiɸo	j i ɸ o	j i ɸ o	259.0	259	FIRE			
1323	Kulina	FIRE	jipʰo	jipʰo	j i pʰ o	j i pʰ o	259.0	259	FIRE			
1659	Paumari	FIRE	siho	siho	s i h o	s i h o	259.0	259	FIRE			
5144	Sorowaha	FIRE	abi	abi	a b i	a b i	1251.0	1251	FIRE			
11852	Paumari_1833	FIRE	tʃiho	tʃiho	tʃ i h o	tʃ i h o	259.0	259	FIRE			
66	Banawa	FISH	aba	aba	a b a	a b a - - - - -	201.0	201	FISH			
341	Deni	FISH	aba	aba	a b a	a b a - - - - -	201.0	201	FISH			
670	Jamamadi	FISH	aba	aba	a b a	a b a - - - - -	201.0	201	FISH			
964	Jarawara	FISH	aba	aba	a b a	a b a - - - - -	201.0	201	FISH			
1324	Kulina	FISH	aba	aba	a b a	a b a - - - - -	201.0	201	FISH			
1660	Paumari	FISH	abaisana / dʒuriru / siraba	abaisana	a b a + i s a n a	a b a + i s a n a	201.0	201 1473	FISH ?			
1861	Sorowaha	FISH	aba	aba	a b a	a b a - - - - -	201.0	201	FISH			
5030	Sorowaha	FISH	aaba	aaba	aː b a	aː b a - - - - -	201.0	201	FISH			
10988	Paumari	FISH	abaisana / dʒuriru / siraba	dʒuriru	dʒ u r i r u	dʒ u r i r u	1018.0	974	FISH			
12054	Paumari	FISH	abaisana / dʒuriru / siraba	siraba	s i r + a b a	s i r + a b a	1491.0	1471 201	? FISH			
12055	Paumari_1833	FISH	abaisana	abaisana	a b a + i s a n a	a b a + i s a n a	201.0	201 1473	FISH ?			
237	Banawa	HOUSE	tabora	tabora	t a b o r a	t a b o r a	370.0	408	BED			
365	Deni	HOUSE	jamari	jamari	j a m a r i	j a m a r i	254.0	254	HOUSE			
842	Jamamadi	HOUSE	tabora	tabora	t a b o r a	t a b o r a	370.0	408	BED			
1200	Jarawara	HOUSE	tabora	tabora	t a b o r a	t a b o r a	370.0	408	BED			
1990	Sorowaha	HOUSE	uuda	uuda	uː d a	uː d a	1272.0	1272	HOUSE			
10965	Paumari	HOUSE	gora	gora	g o r a	g o r a	1023.0	979	HOUSE			
11211	Banawa	HOUSE	jobe	jobe	j o b e	j o b e	1130.0	1087	HOUSE			
12263	Kulina	HOUSE	ni / oza	ni	n i	n i	1577.0	1558	HOME			
12264	Kulina	HOUSE	ni / oza	oza	o z a	o z a	1711.0	1704	HOUSE			
374	Deni	LAKE	korija	korija	k o r i j a	k o r i j a	46.0	46	LAKE			
1004	Jarawara	LAKE	wara	wara	w a r a	- w a r a	1117.0	539	LAKE			
1366	Kulina	LAKE	koɾija / koɾidza	koɾija	k o ɾ i j a	k o ɾ i j a	46.0	46	LAKE		YES	Of Arawakan origin
1367	Kulina	LAKE	koɾija / koɾidza	koɾidza	k o ɾ i dz a	k o ɾ i dz a	46.0	46	LAKE		YES	Of Arawakan origin
1680	Paumari	LAKE	ɗako	ɗako	ɗ a k o	- ɗ a k o	355.0	174	LAKE			
5192	Sorowaha	LAKE	taki	taki	t a k i	- t a k i	355.0	174	LAKE			
11855	Paumari_1833	LAKE	daku	daku	d a k u	d a k u	355.0	174	LAKE			
12588	Jamamadi	LAKE	wara	wara	w a r a	w a r a	1117.0	539	LAKE			
98	Banawa	MAN	maki	maki	m a k i	m a k i	289.0	289	MAN.(ADULT.MALE)			
383	Deni	MAN	makhi / dzabitsu	dzabitsu	dz a b i ts u	dz a b i ts u	384.0	365	MAN.(ADULT.MALE)			
384	Deni	MAN	makhi / dzabitsu	makhi	m a kʰ i	- m a kʰ i - -	289.0	289	MAN.(ADULT.MALE)			
698	Jamamadi	MAN	makiti	maki	m a k i t i	- m a k i t i	289.0	289	MAN.(ADULT.MALE)			
1010	Jarawara	MAN	makiti	maki	m a k i t i	- m a k i t i	289.0	289	MAN.(ADULT.MALE)			
1374	Kulina	MAN	makʰi	makʰi	m a kʰ i	- m a kʰ i - -	289.0	289	MAN.(ADULT.MALE)			
1689	Paumari	MAN	makhira	makhira	m a kʰ i r a	- m a kʰ i r a	289.0	289	MAN.(ADULT.MALE)			
1877	Sorowaha	MAN	imeki	imeki	i m e k i	i m e k i - -	289.0	289	MAN.(ADULT.MALE)			
11814	Paumari	MAN	makhira	makhira	m a kʰ i r a	m a kʰ i r a	289.0	289	MAN.(ADULT.MALE)			
103	Banawa	MOON	abariko	abariko	a b a r i k o	a b a r i k o	202.0	203	MOON			
389	Deni	MOON	abajiko	abajiko	a b a j i k o	a b a j i k o	202.0	203	MOON			
703	Jamamadi	MOON	abariko	abariko	a b a r i k o	a b a r i k o	202.0	203	MOON			
1016	Jarawara	MOON	abariko	abariko	a b a r i k o	a b a r i k o	202.0	203	MOON			
1383	Kulina	MOON	abajiko	abajiko	a b a j i k o	a b a j i k o	202.0	203	MOON			
1815	Paumari	MOON	masiko	masiko	m a s i k o	- m a s i k o	202.0	203	MOON			
1973	Sorowaha	MOON	masiki	masiki	m a s i k i	- m a s i k i	202.0	203	MOON			
11833	Paumari_1833	MOON	masiku	masiku	m a s i k u	m a s i k u	202.0	203	MOON			
133	Banawa	STAR	amowa	amowa	a m o w a	a m o w a	9.0	9	STAR			
444	Deni	STAR	amowa	amowa	a m o w a	a m o w a	9.0	9	STAR			
737	Jamamadi	STAR	amowa	amowa	a m o w a	a m o w a	9.0	9	STAR			
1066	Jarawara	STAR	amowa	amowa	a m o w a	a m o w a	9.0	9	STAR			
1440	Kulina	STAR	amowa	amowa	a m o w a	a m o w a	9.0	9	STAR			
5164	Sorowaha	STAR	amuwa	amuwa	a m u w a	a m u w a	9.0	9	STAR			
11778	Paumari	STAR	boviri	boviri	b o β i r i	b o β i r i	1160.0	1124	STAR			
11834	Paumari_1833	STAR	boore	boore	b oo r e	b oo r e	1160.0	1124	STAR			
139	Banawa	TAPIR	awi	awi	a w i	a w i - -	14.0	14	TAPIR			
451	Deni	TAPIR	awi	awi	a w i	a w i - -	14.0	14	TAPIR			
743	Jamamadi	TAPIR	awi	awi	a w i	a w i - -	14.0	14	TAPIR			
1075	Jarawara	TAPIR	awi	awi	a w i	a w i - -	14.0	14	TAPIR			
1449	Kulina	TAPIR	awi	awi	a w i	a w i - -	14.0	14	TAPIR			
5186	Sorowaha	TAPIR	maahunɨ	maahunɨ	m aː h u n ɨ	m aː h u n ɨ	510.0	494	TAPIR			
10996	Paumari	TAPIR	ɗaama	ɗaama	ɗ aː m a	ɗ aː m a	921.0	880	TAPIR			
176	Banawa	WHITE-LIPPED PECCARY	hijama	hijama	h i j a m a	h i j a m a	243.0	243	WHITE-LIPPED.PECCARY			
502	Deni	WHITE-LIPPED PECCARY	hijama	hijama	h i j a m a	h i j a m a	243.0	243	WHITE-LIPPED.PECCARY			
786	Jamamadi	WHITE-LIPPED PECCARY	hijama	hijama	h i j a m a	h i j a m a	243.0	243	WHITE-LIPPED.PECCARY			
1132	Jarawara	WHITE-LIPPED PECCARY	hijama	hijama	h i j a m a	h i j a m a	243.0	243	WHITE-LIPPED.PECCARY			
1523	Kulina	WHITE-LIPPED PECCARY	hijama	hijama	h i j a m a	h i j a m a	243.0	243	WHITE-LIPPED.PECCARY			
1927	Sorowaha	WHITE-LIPPED PECCARY	ijama / kahiɾi	ijama	i j a m a	- i j a m a	243.0	243	WHITE-LIPPED.PECCARY			
1928	Sorowaha	WHITE-LIPPED PECCARY	ijama / kahiɾi	kahiɾi	k a h i ɾ i	k a h i ɾ i	511.0	496	WHITE-LIPPED.PECCARY			
5043	Sorowaha	WHITE-LIPPED PECCARY	dʒamakahiɾi	dʒamakahiɾi / dʒaməkahiɾi	dʒ a m a k a h i ɾ i	dʒ a m a k a h i ɾ i	440.0	423	WHITE-LIPPED.PECCARY			
5044	Sorowaha	WHITE-LIPPED PECCARY	dʒaməkahiɾi	dʒamakahiɾi / dʒaməkahiɾi	dʒ a m ə k a h i ɾ i	dʒ a m ə k a h i ɾ i	440.0	423	WHITE-LIPPED.PECCARY			
11779	Paumari	WHITE-LIPPED PECCARY	hirari	hirari	h i r a r i	h i r a r i	1368.0	1331	WHITE-LIPPED.PECCARY			
184	Banawa	FOOT	tame	tame	t a m e	- t a m e	47.0	47	FOOT			tame f, teme m
792	Jamamadi	FOOT	tame	tame	t a m e	- t a m e	47.0	47	FOOT			tame f, teme m
1141	Jarawara	FOOT	tame	tame	t a m e	- t a m e	47.0	47	FOOT			tame f, teme m
1327	Kulina	FOOT	amoɾi	amoɾi	a m o ɾ i	a m o ɾ i	1260.0	1260	FOOT			
1764	Paumari	FOOT	ɗama	ɗama	ɗ a m a	- ɗ a m a	47.0	47	FOOT			
1932	Sorowaha	FOOT	dama	dama	d a m a	- d a m a	47.0	47	FOOT			
10086	Sorowaha	FOOT	ud̥ɨ	ud̥ɨ	u d̥ ɨ	u d̥ ɨ	717.0	660	FOOT			
10223	Deni	FOOT	amuri	amuri	a m u r i	a m u r i	1260.0	1260	FOOT			
12152	Paumari_1833	FOOT	da	da	d a	d a	47.0	47	FOOT			
205	Banawa	HAND	je	je	j e	j e	83.0	83	HAND			
538	Deni	HAND	japa	japa	j a p a	- j a p a - -	83.0	83	HAND			
813	Jamamadi	HAND	jahi	jahi	j a h i	- j a h i - -	83.0	83	HAND			jahi/jehe
983	Jarawara	HAND	jehe	jehe	j e h e	- j e h e - -	83.0	83	HAND			
1166	Jarawara	HAND	jehe / jee	jee	j e e	- j e - e - -	83.0	83	HAND			
1341	Kulina	HAND	dzɛpɛ	dzɛpɛ	dz ɛ p ɛ	- dz ɛ p ɛ - -	83.0	83	HAND			
1559	Kulina	HAND	japa	japa	j a p a	- j a p a - -	83.0	83	HAND			
1786	Paumari	HAND	saʔa	saʔa	s a ʔ a	- s a ʔ a - -	83.0	83	HAND			
1868	Sorowaha	HAND	bihi / sahani	bihi	b i h i	b i h i	383.0	322	HAND			
1948	Sorowaha	HAND	bihi / sahani	sahani	s a h a n i	- s a h a n i	83.0	83	HAND			
11818	Paumari_1833	HAND	vuana	vuana	v ua n a	v ua n a	1390.0	1356	HAND			
211	Banawa	JAGUAR	jomahi	jomahi	j o m a h i	j o m a - h i	90.0	90	JAGUAR			
543	Deni	JAGUAR	jomahi	jomahi	j o m a h i	j o m a - h i	90.0	90	JAGUAR			
819	Jamamadi	JAGUAR	jomahi	jomahi	j o m a h i	j o m a - h i	90.0	90	JAGUAR			
1172	Jarawara	JAGUAR	jomahi	jomahi	j o m a h i	j o m a - h i	90.0	90	JAGUAR			
1565	Kulina	JAGUAR	jomahi	jomahi	j o m a h i	j o m a - h i	90.0	90	JAGUAR			
1789	Paumari	JAGUAR	jomahi	jomahi	dʒ o m a h i	dʒ o m a - h i	90.0	90	JAGUAR			
5184	Sorowaha	JAGUAR	maɾihi	maɾihi	m a ɾ i h i	m a ɾ i h i	90.0	90	JAGUAR			
234	Banawa	ONE	ohari	ohari	o h a r i	o h a r i - -	684.0	684	ONE			
569	Deni	ONE	ohari	ohari	o h a r i	o h a r i - -	684.0	684	ONE			
840	Jamamadi	ONE	ohari	ohari	o h a r i	o h a r i - -	684.0	684	ONE			
1198	Jarawara	ONE	ohari	ohari	o h a r i	o h a r i - -	684.0	684	ONE			Intransitive verb
1586	Kulina	ONE	ohaɾi	ohaɾi	o h a ɾ i	o h a ɾ i - -	684.0	684	ONE			
124	Banawa	SCROTUM	dane / naɸe	dane	d a n e	d a n e - - -	40.0	40	SCROTUM			dane/dene
236	Banawa	SCROTUM	dane / naɸe	naɸe	n a ɸ e	- - n a ɸ e - - - -	375.0	360	SCROTUM			
433	Deni	SCROTUM	denephe / nephe	denephe	d e n e p h e	d e n e p h e	40.0	40	SCROTUM			
571	Deni	SCROTUM	denephe / nephe	nephe	n e p h e	- - n e p h e	375.0	360	SCROTUM			
728	Jamamadi	SCROTUM	dane	dane	d a n e	d a n e - - -	40.0	40	SCROTUM			dane/dene
1049	Jarawara	SCROTUM	tane	tane	t a n e	t a n e 	40.0	40	SCROTUM			tane/tenehe
1425	Kulina	SCROTUM	dɛnɛpʰɛ / nɛpʰɛ	dɛnɛpʰɛ	d ɛ n ɛ pʰ ɛ	d ɛ n ɛ pʰ - ɛ	40.0	40	SCROTUM			
1588	Kulina	SCROTUM	dɛnɛpʰɛ / nɛpʰɛ	nɛpʰɛ	n ɛ pʰ ɛ	- - n ɛ pʰ - ɛ	375.0	360	SCROTUM			
1806	Paumari	SCROTUM	nafa	nafa	n a f a	- - n a f a - - - -	375.0	360	SCROTUM			
1894	Sorowaha	SCROTUM	danaha / inahɨ	danaha	d a n a h a	d a n a - h a	40.0	40	SCROTUM			
1961	Sorowaha	SCROTUM	danaha / inahɨ	inahɨ	i n a h ɨ	- i n a - h ɨ	40.0	40	SCROTUM			
252	Banawa	SUN	mai	mai	m a i	m a - i	216.0	216	SUN			
449	Deni	SUN	mahi	mahi	m a h i	m a h i	216.0	216	SUN			
860	Jamamadi	SUN	mahi	mahi	m a h i	m a h i	216.0	216	SUN			
1072	Jarawara	SUN	bahi	bahi	b a h i	b a h i	216.0	216	SUN			
1447	Kulina	SUN	mahi	mahi	m a h i	m a h i	216.0	216	SUN			
1811	Paumari	SUN	mahi / safini	mahi	m a h i	m a h i	216.0	216	SUN			
1994	Sorowaha	SUN	masici	masici	m a s i c i	m a s i c i	512.0	495	SUN			
10975	Paumari	SUN	mahi / safini	safini	s a f i n i	s a f i n i	1042.0	997	SUN			
11832	Paumari_1833	SUN	sahoeni	sahoeni	s a h oe n i	s a h oe n i	1042.0	997	SUN			
269	Banawa	TWO	ɸama	ɸama	ɸ a m a	- ɸ a m a - -	153.0	153	TWO			
609	Deni	TWO	pama	pama	p a m a	- p a m a - -	153.0	153	TWO			
878	Jamamadi	TWO	ɸama	ɸama	ɸ a m a	- ɸ a m a - -	153.0	153	TWO			
1241	Jarawara	TWO	ɸama	ɸama	ɸ a m a	- ɸ a m a - -	153.0	153	TWO			
1512	Kulina	TWO	pama	pama	p a m a	- p a m a - -	153.0	153	TWO			
1981	Sorowaha	TWO	ohama	ohama	o h a m a	o h a m a - -	153.0	153	TWO			
10956	Paumari	TWO	ɓami	ɓami	ɓ a m i	ɓ a m i	1051.0	1003	TWO			
273	Banawa	WATER	ɸaha	ɸaha	ɸ a h a	ɸ a h a	157.0	157	WATER			
498	Deni	WATER	patsu / pha	patsu	p a ts u	p a ts u	513.0	497	WATER			
612	Deni	WATER	patsu / pha	pha	pʰ a	pʰ a - -	157.0	157	WATER			
882	Jamamadi	WATER	ɸaha	ɸaha	ɸ a h a	ɸ a h a	157.0	157	WATER			
1245	Jarawara	WATER	ɸaha	ɸaha	ɸ a h a	ɸ a h a	157.0	157	WATER			
