ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	LANG_SUBGROUP	VALUE	FORM	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	LOAN	SOURCE	NOTES	COGID
1	1_above	above	TshDirangTshangla	Dirang Tshangla	Bodic	tʰuŋ+ga	tʰuŋ+ga	dira1243	1741	27.343674			FALSE	TB		3493
2	1_above	above	TaniTangam	Tangam	Tani	agyaŋ	a+gjaŋ	tang1377	1741	28.956354			FALSE	Post2017		150
3	1_above	above	EBDzalakha	Dzalakha	East Bodish	blaiwa	blai+wa	dzal1238	1741	27.605989			FALSE	DDC2017		2290
4	1_above	above	EBKhengkha	Khengkha	East Bodish	ཇའི་དོ།	dʑai+do	khen1241	1741	27.144878			FALSE	TB		2290
5	1_above	above	KBWanghoBugun	Bugun	KhoBwa	lakhuŋ	la+kʰuŋ	wang1301	1741	27.24169			FALSE	Abraham2018		158
6	1_above	above	KBBichomBugun	Bugun	KhoBwa	lakhuŋ	la+kʰuŋ	bich1234	1741	27.31177			FALSE	Abraham2018		158
7	1_above	above	KBSingchungBugun	Bugun	KhoBwa	lakhuŋ	la+kʰuŋ	sing1271	1741	27.191743			FALSE	Abraham2018		158
8	1_above	above	KBKaspiBugun	Bugun	KhoBwa	lakhuŋ	la+kʰuŋ	kasp1234	1741	27.204536			FALSE	Abraham2018		158
9	1_above	above	KBNamphriBugun	Bugun	KhoBwa	lakhuŋ	la+kʰuŋ	namp1239	1741	27.24403			FALSE	Abraham2018		158
10	1_above	above	EBMamaCuonaMenba	Tshona Dakpa	East Bodish	jAr˥	jar⁵⁵	dakp1242	1741	27.872413			FALSE	Lu1986	!ignore this means 'upwards'	198
11	1_above	above	EBWenlangCuonaMenba	Tawang Dakpa	East Bodish	ȵa˧˥ka˥	ȵa³⁵+ka⁵⁵	dakp1242	1741	29.367765			FALSE	Lu1986		109
12	1_above	above	KBWestPuroikLieberherr	Puroik	KhoBwa	a.ʧa	a+ʧa	bulu1255	1741	27.451029		1765	FALSE	TB		1765
13	1_above	above	KBDikhyangBugun	Bugun	KhoBwa	sa.ba.kʰuŋ	sa+ba+kʰuŋ	dikh1234	1741	27.320448		785	FALSE	TB		158
14	1_above	above	KBWKhispi	Khispi	WesternKhoBwa	tɕʰaŋ	tɕʰaŋ	lish1235	1741	27.378042		744	FALSE	TB		744
15	1_above	above	KBWDuhumbi	Duhumbi	WesternKhoBwa	tɕʰaŋ	tɕʰaŋ	chug1252	1741	27.416112		744	FALSE	TB		744
16	1_above	above	KBWKhoina	Sartang	WesternKhoBwa	a.tsʰɔ̃	a+tsʰɔ̃	khoi1253	1741	27.334981		744	FALSE	TB		744
17	1_above	above	KBWJerigaon	Sartang	WesternKhoBwa	a.tɕʰɔ̃	a+tɕʰɔ̃	jeri1243	1741	27.340629		744	FALSE	TB		744
18	1_above	above	KBWKhoitam	Sartang	WesternKhoBwa	a.tɕʰũ	a+tɕʰũ	khoi1252	1741	27.327487		744	FALSE	TB		744
19	1_above	above	KBWRahung	Sartang	WesternKhoBwa	a.tɕʰũ	a+tɕʰũ	rahu1234	1741	27.310778		744	FALSE	TB		744
20	1_above	above	KBWRupa	Sherdukpen	WesternKhoBwa	a.tsʰũ	a+tsʰũ	rupa1234	1741	27.203065		744	FALSE	TB		744
21	1_above	above	KBWShergaon	Sherdukpen	WesternKhoBwa	a.tɕʰɔ̃	a+tɕʰɔ̃	sher1261	1741	27.105018		744	FALSE	TB		744
22	1_above	above	TshBhutanTshangla	Bhutan Tshangla	Bodic	tʰuŋ	tʰuŋ	tsha1245	1741	27.332081		783	FALSE	TB		3493
23	1_above	above	Kusunda	Kusunda		nɔ̃ː.ʤi ɐ̃ː.ʤi	nɔ̃ː+ʤi	kusu1250	1741	28.431855		790	FALSE	Bodt2019b		193
24	1_above	above	HruNamreiBisai	Namrei	Hrusish	tʃajoŋ	tʃa+joŋ	hrus1242	1741	27.680112			FALSE	Abraham2018		44
25	1_above	above	HruNamreiNabolang	Namrei	Hrusish	tʃajoŋ	tʃa+joŋ	hrus1242	1741	27.558051			FALSE	Abraham2018		44
26	1_above	above	HruHrusoAkaJamiri	Hruso Aka	Hrusish	ʔodɹu	ʔo+dɹu	hrus1242	1741	27.203617			FALSE	Abraham2018		51
27	1_above	above	HruBangru	Bangru	Hrusish	məjɔ tɔts	mə+jɔ+tɔts	bang1369	1741	27.952786			FALSE	TB		44
28	1_above	above	HruDammaiDibin	Miji	Hrusish	thaŋiu	tʰaŋ+ju	hrus1242	1741	27.444541			FALSE	Abraham2018		44
29	1_above	above	HruMijiNafra	Miji	Hrusish	thaŋjuŋ	tʰaŋ+juŋ	hrus1242	1741	27.371831			FALSE	Abraham2018		44
30	1_above	above	HruDammaiRurang	Miji	Hrusish	thajoŋ	tʰa+jɔŋ	hrus1242	1741	27.368891			FALSE	Abraham2018		44
31	1_above	above	EBBumthang	Bumthang	East Bodish	jai	dʑai	khen1241	1741	27.549248			FALSE	vanDriem2015		2290
